,customer_age,customer_sex,customer_number_of_dependents,customer_education,customer_civil_status,customer_salary_range,customer_relationship_length,customer_available_credit_limit,credit_card_classification,total_products,period_inactive,contacts_in_last_year,credit_card_debt_balance,remaining_credit_limit,transaction_amount_ratio,total_transaction_amount,total_transaction_count,transaction_count_ratio,average_utilization,account_status,customer_available_credit_limit_below_1450,total_products_0_5,total_products_6_10,total_products_more_than_10,period_inactive_0_3,credit_card_debt_balance_0,transaction_amount_ratio_0_05,transaction_amount_ratio_05_1,transaction_amount_ratio_1_2,transaction_amount_ratio_more_than_2,total_transaction_count_0_25,total_transaction_count_26_50,total_transaction_count_51_100,total_transaction_count_more_than_100,transaction_count_ratio_0_05,transaction_count_ratio_05_1,transaction_count_ratio_1_2,transaction_count_ratio_more_than_2,average_utilization_0_02,average_utilization_02_06,average_utilization_more_than_06
1040,65.0,F,0,College,Single,below 40K,56,9.295140973668648,Silver,3,4,3,1758,9.118992332516877,0.8,7.736743682453495,39,0.773,0.162,closed,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
9509,,,3,Unknown,Single,below 40K,36,8.922658299524402,Blue,1,2,5,0,8.922658299524402,0.576,8.990192329641772,78,3.48,0.0,closed,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
9152,,F,2,Graduate,Single,,24,8.12415060330663,Blue,4,3,1,1730,7.405495663199472,0.514,8.375860015299594,64,0.684,0.513,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5142,47.0,F,4,Graduate,Married,below 40K,37,7.802618063442671,Blue,3,1,3,1973,6.161207321695077,0.476,8.473032295630468,75,0.562,0.806,open,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4372,57.0,F,2,Graduate,Married,,36,7.271217139609844,Blue,5,1,3,0,7.271217139609844,0.565,8.255308811785596,75,0.705,0.0,open,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8926,41.0,F,4,Unknown,Single,Unknown,25,10.28517213197889,Blue,2,2,3,0,10.28517213197889,1.411,9.196748418456716,65,0.711,0.0,closed,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
263,43.0,M,4,Doctorate,Unknown,60-80K,33,7.633853559681768,Blue,4,3,4,1250,6.705639094860003,0.891,8.426173793029069,65,0.806,0.605,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6292,43.0,F,4,Graduate,Divorced,,23,8.066835314417336,Blue,6,3,2,2430,6.6293632534374485,0.617,7.234898420314831,33,1.357,0.762,open,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1244,50.0,M,2,Graduate,Married,120K and more,43,9.909171369004426,Blue,3,1,3,0,9.909171369004426,0.82,10.409702563744435,88,0.796,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
4783,44.0,M,1,Graduate,Married,,33,9.863394458969683,Blue,5,4,3,0,9.863394458969683,0.998,8.133587417660966,47,1.136,0.0,open,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2735,38.0,F,2,High School,Single,below 40K,20,7.791522819150732,Blue,4,3,3,676,7.463936604468925,0.782,8.234830280442056,76,0.81,0.279,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3878,40.0,M,3,Uneducated,Married,60-80K,21,8.458716261657262,Blue,5,1,0,0,8.458716261657262,2.175,6.704414354964107,28,2.5,0.0,open,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
8434,55.0,,2,Graduate,Single,80-120K,46,8.515992470839718,Blue,5,5,2,0,8.515992470839718,0.717,8.4767877767812,81,0.761,0.0,open,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
374,40.0,M,5,Graduate,Unknown,120K and more,27,10.372052647587516,Blue,5,2,3,2297,10.297453464251271,0.516,8.382747094863314,82,0.64,0.072,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2808,55.0,F,2,Graduate,Married,below 40K,42,7.703459047867175,Blue,5,3,3,1034,7.074963197966044,0.758,7.3395376954076745,36,0.286,0.467,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
677,59.0,F,0,Unknown,Married,below 40K,47,8.94793610670867,Blue,5,3,2,1678,8.701845363548474,1.423,7.528869256642251,42,0.5,0.218,open,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2699,57.0,M,2,Graduate,Married,120K and more,39,10.449178263628198,Silver,4,2,3,1444,10.40644228192155,0.568,9.704548689918736,116,0.657,0.042,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8723,52.0,F,1,High School,Married,below 40K,35,7.580189417944541,Blue,1,3,3,1022,6.842683282238422,0.78,8.967886572127473,65,0.857,0.522,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
4766,30.0,,0,High School,Single,Unknown,22,9.539212371252827,Blue,1,2,4,0,9.539212371252827,0.845,9.143238568435446,69,0.533,0.0,closed,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3539,40.0,F,4,Uneducated,Married,below 40K,31,7.271217139609844,Blue,5,2,3,0,7.271217139609844,0.553,8.455743229100015,84,0.714,0.0,open,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
6239,46.0,M,3,Graduate,Divorced,below 40K,36,8.345930261979017,Blue,5,1,3,997,8.075893630298857,0.668,7.142036574706803,30,0.667,0.237,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5071,46.0,F,4,Graduate,Married,Unknown,36,7.734558844354756,Blue,4,3,4,0,7.734558844354756,1.057,7.936660155225426,40,0.481,0.0,closed,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
7700,41.0,,3,College,Single,60-80K,36,10.054490426072656,Blue,18,3,1,1476,9.988931034353595,0.975,9.625095526991439,105,4.05,0.063,open,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
7444,43.0,F,3,High School,Unknown,below 40K,13,7.865187954187467,Blue,6,2,1,2269,5.817111159963204,0.881,8.575084669832014,79,0.837,0.871,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1340,48.0,F,3,Graduate,Single,below 40K,36,8.264105763728956,Blue,2,3,1,2029,7.52456122628536,0.751,9.5453830157878,128,0.707,0.523,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
5913,46.0,M,2,Graduate,Married,60-80K,36,9.642447411030767,Blue,3,2,3,1691,9.52617248784431,0.814,7.47477218239787,44,0.189,0.11,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
694,53.0,F,1,Doctorate,Single,below 40K,48,7.726212650507529,Blue,4,3,3,1469,6.682108597449809,0.716,8.21851757748959,64,0.684,0.648,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
9238,41.0,M,0,College,Married,40-60K,29,8.852378886511985,Blue,3,2,2,1384,8.631771096123673,0.66,9.615405400063008,104,0.733,0.198,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
364,34.0,M,3,Graduate,Married,,36,8.422662707570003,Blue,3,2,1,990,8.177234885510194,0.745,11.478623833273208,123,0.732,0.218,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
4516,48.0,F,2,Graduate,Single,below 40K,41,7.681560362559537,Blue,4,2,3,1323,6.739336627357174,0.687,7.823645930834952,38,0.407,0.61,closed,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3305,43.0,F,3,Unknown,Single,40-60K,36,7.860956364876389,Blue,5,2,4,1686,6.811244378601294,0.624,,67,0.811,0.65,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1775,61.0,F,0,Graduate,Married,below 40K,53,7.9868449011613825,Blue,4,1,2,2022,6.824373670043086,0.537,7.2991214627108,28,0.217,0.687,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4962,51.0,M,2,Post-Graduate,Unknown,80-120K,46,10.449178263628198,Gold,2,3,2,814,10.425312461760488,0.735,8.97322466309509,98,0.508,0.024,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3521,38.0,M,4,Graduate,Unknown,60-80K,22,9.06323150693797,Blue,5,2,3,0,9.06323150693797,0.395,7.7057128238944275,40,0.739,0.0,closed,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
8578,47.0,M,4,Unknown,Single,80-120K,37,10.449178263628198,Silver,5,2,4,0,10.449178263628198,1.06,7.955425088912672,80,0.739,0.0,open,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
8288,36.0,,2,Uneducated,Divorced,Unknown,36,9.568294497413296,Blue,3,2,1,699,9.518192651217346,0.549,8.465057436995709,73,0.521,0.049,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2196,51.0,M,3,Graduate,Married,80-120K,39,8.866158492284917,Blue,1,2,1,1750,8.58260632996447,0.618,8.453401058328458,76,0.727,0.247,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
9995,58.0,M,3,High School,Single,80-120K,51,9.212438170058329,Blue,2,2,1,1952,8.995784837848506,0.699,8.39638057119949,68,0.581,0.195,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3903,39.0,,3,High School,Single,below 40K,33,7.390798521735676,Blue,2,1,2,0,7.390798521735676,0.779,8.909235279192261,86,0.686,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5154,56.0,M,1,Uneducated,Divorced,120K and more,36,8.224163512637862,Blue,1,1,2,0,8.224163512637862,0.732,9.546598299920646,102,0.619,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
6700,43.0,M,3,Unknown,Divorced,120K and more,30,10.449178263628198,Blue,3,1,2,2517,10.373459931293572,0.77,8.9142228207033,86,0.623,0.073,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5867,38.0,M,3,Unknown,Single,80-120K,36,10.449178263628198,Silver,2,2,3,2008,10.389241491873095,0.858,9.090655529030203,86,0.593,0.058,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
4,40.0,M,4,High School,Single,80-120K,29,9.471010895181113,Blue,3,3,2,0,9.471010895181113,0.628,9.5563385212508,85,0.7,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8027,42.0,M,0,High School,Unknown,80-120K,35,10.449178263628198,Silver,5,2,3,1934,10.391515267626115,0.626,8.43663368355782,73,0.553,0.056,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
10035,42.0,F,2,Graduate,Married,below 40K,37,7.718685495198466,Blue,4,2,1,1788,6.135564891081739,0.523,8.498621805830801,71,1.152,0.795,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3292,49.0,M,2,High School,Married,60-80K,39,8.885025658050846,Blue,6,3,2,1963,8.567886305731756,0.852,8.325306029752582,70,0.842,0.272,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5923,42.0,M,3,Graduate,Single,60-80K,31,7.984121958702927,Blue,3,3,4,2517,6.0330862217988015,0.868,7.81762544305337,55,0.774,0.858,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8771,41.0,,3,College,Single,60-80K,33,8.56522116042682,Blue,6,1,4,0,8.56522116042682,0.969,8.067462667010057,56,0.556,0.0,open,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
4835,,F,2,High School,Married,below 40K,36,7.941295570906532,Blue,3,2,2,2404,6.008813185442595,0.491,7.716460800176355,41,0.464,0.855,closed,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
9001,44.0,M,4,Unknown,Single,60-80K,24,9.30946146284399,Blue,5,3,2,2211,9.086023537468803,0.897,7.038783541388542,25,0.786,0.2,open,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
6746,36.0,F,4,Uneducated,Unknown,40-60K,16,8.382518288089635,Blue,1,2,2,1222,8.054522609537294,0.648,8.885025658050846,90,0.552,0.28,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
7320,48.0,,3,Graduate,Married,,36,10.449178263628198,Gold,1,4,2,1823,10.394916266691387,1.062,11.597854675755533,108,0.831,0.053,open,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
3817,57.0,F,2,College,Single,below 40K,47,7.454141078146678,Blue,1,3,1,996,6.594413459749778,0.767,,82,0.673,0.577,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
620,46.0,F,2,High School,Divorced,below 40K,26,7.533693709848633,Blue,4,3,1,1785,4.442651256490317,0.696,8.377241230988792,88,0.76,0.955,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8965,51.0,F,1,Unknown,Married,Unknown,35,8.207401833376355,Blue,1,2,3,0,8.207401833376355,0.655,8.46653127661401,87,0.812,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3969,50.0,F,2,College,Married,below 40K,40,9.03788993497749,Blue,3,2,4,1549,8.834482608620677,0.643,9.545955098183267,124,0.771,0.184,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
9627,42.0,F,4,Unknown,Single,below 40K,32,9.526537012326164,Silver,6,3,2,1384,9.420196028963456,1.201,8.235890725928495,63,0.658,0.101,open,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
6445,40.0,M,2,Graduate,Married,120K and more,28,9.814383077453307,Blue,6,3,3,0,9.814383077453307,0.625,8.481980435660493,70,0.75,0.0,open,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
6973,,M,1,Unknown,Single,40-60K,51,9.626679476636225,Silver,2,2,1,1071,9.553433499191511,0.9,9.477462530462603,103,0.717,0.071,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8160,48.0,,3,Graduate,Unknown,60-80K,36,8.810310466357958,Blue,3,3,2,1252,8.603554357064281,0.625,7.519149957669823,44,0.63,0.187,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
5528,39.0,,2,Uneducated,Single,60-80K,36,9.544023006988647,Blue,5,3,3,1299,9.446360661104071,0.842,6.663132695990803,20,0.667,0.093,closed,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1710,32.0,M,1,Unknown,Single,120K and more,18,8.744488113852924,Blue,5,3,2,2289,8.290794347381356,0.637,7.877397186353287,68,0.388,0.365,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
7197,44.0,F,2,Graduate,Divorced,below 40K,27,7.271217139609844,Blue,5,2,2,679,6.632396956219188,0.859,7.018401799069201,29,1.071,0.472,open,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
4960,57.0,M,2,High School,Single,60-80K,45,10.410636425329677,Silver,5,2,3,0,10.410636425329677,0.732,8.205764725234456,81,0.761,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5033,59.0,F,0,Graduate,Single,below 40K,46,8.020927718981577,Blue,4,1,2,1611,7.267525427828172,0.74,7.283448228756631,36,0.714,0.529,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2108,43.0,F,5,Graduate,Married,Unknown,34,8.053887083618223,Blue,5,1,3,808,7.757051142032013,0.711,8.330622620332868,66,0.784,0.257,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
8531,51.0,F,2,Unknown,Married,below 40K,36,7.656337166430183,Blue,1,2,2,0,7.656337166430183,0.875,7.962763930168115,45,0.5,0.0,closed,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5793,45.0,F,5,Graduate,Divorced,40-60K,36,9.249561085129464,Blue,5,2,2,1777,9.062188330952324,0.791,7.007600613951853,28,0.867,0.171,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
4645,,,4,Graduate,Married,Unknown,35,7.937731775260109,Blue,6,3,0,2043,6.630683385642372,0.583,7.123672785204607,46,0.643,0.729,open,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2828,55.0,M,2,Unknown,Single,,48,8.997394645638419,Blue,3,2,3,1138,8.845633256340186,0.723,8.361007108226909,59,0.788,0.141,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8938,42.0,F,1,Uneducated,Single,below 40K,35,8.083637203141548,Blue,4,3,3,0,8.083637203141548,0.442,7.674152921281675,43,0.303,0.0,closed,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
4696,36.0,F,2,Graduate,Married,Unknown,26,9.061956366209925,Blue,5,2,2,1251,8.905172985183382,0.696,7.5953872788539725,37,0.48,0.145,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
4190,50.0,F,0,High School,Single,40-60K,39,9.019664010799474,Blue,5,3,2,2057,8.733432966413652,0.821,8.352318548226004,73,0.587,0.249,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
